Date,Time,Open,High,Low,Close,Vol,OI
06/04/2008,16:00,1092.8,1102.7,1088.3,1094.2,29311,98526
06/05/2008,16:00,1093.3,1115.6,1092.7,1115.5,37809,101119
06/06/2008,16:00,1115.1,1117.6,1088.5,1089.5,35971,98650
06/09/2008,16:00,1089.3,1096.7,1082.4,1090.1,31029,98669
06/10/2008,16:00,1090.2,1091.6,1078.9,1082.5,33560,97747
06/11/2008,16:00,1082.1,1086.4,1069.0,1069.2,41870,96207
06/12/2008,16:00,1072.6,1079.3,1065.5,1070.6,45231,44447
06/13/2008,16:00,1070.7,1084.7,1068.1,1082.6,36835,58046
06/16/2008,16:00,1082.0,1090.6,1078.8,1087.7,38278,70710
06/17/2008,16:00,1087.7,1094.9,1086.6,1090.5,40092,86141
06/18/2008,16:00,1089.7,1091.3,1077.5,1083.3,40569,91915
06/19/2008,16:00,1083.1,1088.5,1079.3,1085.6,27225,93931
06/20/2008,16:00,1085.3,1085.9,1068.9,1071.3,30068,92585
06/23/2008,16:00,1072.1,1078.4,1067.8,1067.9,24663,92293
06/24/2008,16:00,1066.9,1070.6,1057.3,1059.4,28469,92039
06/25/2008,16:00,1059.0,1069.2,1058.7,1066.7,30508,92603
06/26/2008,16:00,1062.0,1064.5,1040.1,1042.2,31731,93195
06/27/2008,16:00,1043.5,1045.7,1035.0,1037.7,31697,93318
06/30/2008,16:00,1037.9,1044.1,1033.4,1035.9,28314,92026
07/01/2008,16:00,1036.2,1037.1,1019.8,1035.4,35564,91503
07/02/2008,16:00,1035.0,1040.4,1009.5,1010.9,35717,90697
07/03/2008,16:00,1012.0,1014.8,997.5,1002.4,28782,92051
07/04/2008,16:00,1002.8,1005.0,998.2,1002.4,114,92051
07/07/2008,16:00,998.5,1011.3,988.3,995.4,38287,91352
07/08/2008,16:00,996.1,1015.9,985.5,1015.5,42641,92650
07/09/2008,16:00,1014.8,1021.5,1000.8,1004.3,40996,93881
07/10/2008,16:00,1004.6,1010.8,995.3,1008.3,44272,93030
07/11/2008,16:00,1008.6,1012.2,989.8,1000.9,39791,94111
07/14/2008,16:00,1002.5,1012.1,991.3,994.1,34488,95771
07/15/2008,16:00,993.9,1000.4,973.5,986.2,46060,97294
07/16/2008,16:00,986.5,1006.7,982.1,1005.7,33039,97687
07/17/2008,16:00,1003.7,1019.9,1003.1,1013.8,32025,96205
07/18/2008,16:00,1010.4,1021.6,1006.8,1013.5,24685,95427
07/21/2008,16:00,1012.9,1023.2,1011.9,1022.4,17296,95531
07/22/2008,16:00,1019.7,1031.6,1013.0,1029.8,26378,95959
07/23/2008,16:00,1029.7,1041.1,1027.8,1033.5,29288,95921
07/24/2008,16:00,1033.5,1034.3,1005.2,1009.0,32042,98654
07/25/2008,16:00,1009.1,1015.2,1006.3,1008.3,30746,105805
07/28/2008,16:00,1008.8,1014.1,999.6,1000.9,18085,106644
