Date,Close,High,Low,Open,Vol,Session
2020-12-14,2529.6,2563.5,2528.5,2548.1,43285,
2020-12-15,2580.9,2583.3,2528.1,2533.1,25846,
2020-12-16,2574.1,2593.2,2561.8,2579.6,21976,
2020-12-17,2591.9,2595.2,2573.4,2577.0,17017,
2020-12-18,2580.3,2603.6,2569.0,2590.5,21907,
2020-12-21,2574.2,2603.3,2489.5,2595.9,18456,
2020-12-22,2585.1,2590.2,2552.8,2575.2,13908,
2020-12-23,2605.2,2611.8,2565.0,2582.4,9908,
2020-12-24,2609.1,2616.9,2595.1,2608.1,6034,
2020-12-28,2602.2,2638.4,2601.2,2603.6,12372,
2020-12-29,2577.8,2618.3,2566.0,2606.2,17994,
2020-12-30,2596.5,2610.9,2572.1,2581.3,11652,
2020-12-31,2600.6,2610.4,2578.3,2596.3,16031,
2021-01-04,2563.9,2626.7,2543.3,2604.5,26052,
2021-01-05,2596.4,2607.3,2552.2,2567.9,16684,
2021-01-06,2688.4,2704.6,2588.4,2594.5,22597,
2021-01-07,2715.0,2719.0,2677.6,2686.8,13881,
2021-01-08,2710.3,2732.0,2682.7,2713.8,12369,
2021-01-11,2714.8,2727.5,2674.7,2727.5,12570,
2021-01-12,2743.7,2745.3,2711.1,2717.7,10275,
2021-01-13,2719.5,2749.1,2717.5,2738.3,11939,
2021-01-14,2743.5,2757.7,2720.1,2726.9,13446,
2021-01-15,2717.4,2746.9,2690.7,2746.1,15847,
2021-01-19,2738.4,2746.9,2725.7,2727.3,14035,
2021-01-20,2763.6,2765.1,2729.4,2735.7,14302,
2021-01-21,2746.8,2773.4,2744.8,2759.1,10996,
2021-01-22,2756.0,2758.0,2720.4,2751.7,9488,
2021-01-25,2746.7,2776.8,2722.0,2757.0,11994,
2021-01-26,2721.7,2764.9,2712.3,2746.5,10688,
2021-01-27,2659.2,2722.7,2643.7,2715.4,16224,
2021-01-28,2679.8,2697.9,2634.7,2660.3,17916,
2021-01-29,2632.8,2687.3,2624.7,2670.4,17916,
2021-02-01,2681.3,2686.3,2593.1,2636.8,11123,
2021-02-02,2711.1,2715.1,2675.6,2680.1,10450,
2021-02-03,2711.4,2721.4,2690.8,2710.1,7950,
2021-02-04,2745.0,2751.0,2699.2,2714.4,7482,
2021-02-05,2771.2,2775.0,2743.1,2747.2,10203,
2021-02-08,2811.1,2814.6,2774.4,2778.8,8449,
2021-02-09,2817.1,2826.4,2802.2,2810.6,7589,
2021-02-10,2814.6,2835.8,2798.1,2818.0,9659,
2021-02-11,2831.6,2838.4,2798.6,2818.7,9742,
2021-02-12,2838.8,2844.3,2815.0,2826.1,7174,
2021-02-16,2833.9,2864.1,2826.6,2856.8,9530,
2021-02-17,2821.3,2839.0,2796.7,2837.7,8327,
2021-02-18,2792.6,2828.7,2780.2,2822.7,7665,
2021-02-19,2831.1,2836.9,2781.2,2796.3,8832,
2021-02-22,2821.8,2843.5,2802.8,2838.1,7971,
2021-02-23,2825.3,2837.1,2757.6,2827.9,11152,
2021-02-24,2873.7,2881.0,2813.2,2827.3,10646,
2021-02-25,2793.8,2886.7,2786.6,2875.3,18502,
2021-02-26,2791.8,2823.9,2758.9,2796.2,18502,
2021-03-01,2860.5,2871.2,2793.9,2795.8,10717,
2021-03-02,2823.5,2866.2,2820.1,2864.2,10552,
2021-03-03,2803.0,2857.6,2799.9,2825.8,10463,
2021-03-04,2747.5,2815.2,2711.0,2807.0,13474,
2021-03-05,2807.7,2813.4,2701.7,2754.0,13474,
2021-03-08,2826.1,2860.7,2779.5,2807.3,14447,
2021-03-09,2844.0,2867.6,2830.4,2839.8,7786,
2021-03-10,2878.4,2890.3,2833.3,2846.7,119,
2021-03-11,2918.0,2924.1,2881.9,2881.9,8436,
2021-03-12,2942.2,2947.1,2906.5,2920.4,28712,
2021-03-15,2979.4,2981.7,2931.9,2951.9,26670,
2021-03-16,2944.9,2981.2,2933.7,2975.9,16126,
2021-03-17,2962.8,2964.0,2918.8,2952.6,13041,
2021-03-18,2909.1,2977.6,2903.6,2963.2,8267,
2021-03-19,2908.6,2932.7,2883.4,2917.1,14961,
2021-03-22,2893.6,2915.6,2883.6,2909.2,8752,
2021-03-23,2825.8,2904.9,2815.6,2901.4,11647,
2021-03-24,2811.5,2873.7,2810.0,2832.8,9293,
2021-03-25,2864.3,2873.3,2778.9,2817.9,9728,
2021-03-26,2923.6,2928.8,2865.5,2869.1,9728,
2021-03-29,2873.9,2933.7,2867.6,2919.1,10009,
2021-03-30,2905.5,2911.2,2866.9,2885.8,8120,
2021-03-31,2907.2,2930.7,2902.5,2906.2,10075,
2021-04-01,2945.1,2949.7,2905.7,2910.6,103,
2021-04-05,2963.0,2982.8,2945.7,2982.8,9396,
2021-04-06,2964.1,2984.1,2946.3,2962.2,9864,
2021-04-07,2944.9,2973.7,2936.7,2969.9,9488,
2021-04-08,2955.6,2962.8,2928.4,2951.5,6608,
2021-04-09,2967.1,2970.2,2948.8,2963.3,6608,
2021-04-12,2976.6,2980.2,2951.7,2963.9,7585,
2021-04-13,2964.8,2987.4,2948.3,2976.9,9310,
2021-04-14,2978.8,3002.0,2959.1,2968.9,12941,
2021-04-15,2999.1,3008.0,2975.9,2985.6,7662,
2021-04-16,3018.5,3026.4,2993.2,2993.5,8879,
2021-04-19,3003.2,3021.2,2988.2,3011.9,10280,
2021-04-20,2963.2,3014.8,2947.4,3003.6,10718,
2021-04-21,3011.2,3012.4,2953.7,2961.9,11131,
2021-04-22,2997.5,3032.9,2989.3,3006.7,9018,
2021-04-23,3043.4,3054.6,3002.8,3002.8,10282,
2021-04-26,3054.7,3064.9,3038.7,3038.7,7644,
2021-04-27,3060.5,3067.2,3046.1,3055.5,7099,
2021-04-28,3059.3,3068.6,3047.8,3060.7,6397,
2021-04-29,3059.4,3082.9,3040.1,3056.6,9752,
2021-04-30,3022.2,3055.0,3018.0,3054.8,13693,
2021-05-03,3038.1,3056.9,3030.7,3036.9,9727,
2021-05-04,3028.7,3039.1,2999.2,3037.8,14564,
2021-05-05,3024.2,3044.7,3005.1,3031.7,9357,
2021-05-06,3038.3,3041.5,2997.4,3027.7,9836,
2021-05-07,3068.7,3072.4,3025.7,3038.1,9836,
2021-05-10,3035.5,3079.9,3027.3,3071.4,11189,
2021-05-11,3010.6,3037.7,2979.9,3034.2,15262,
2021-05-12,2926.6,3015.4,2921.6,3010.1,18148,
2021-05-13,2976.3,2988.2,2907.9,2930.6,17873,
2021-05-14,3020.4,3028.7,2972.9,2973.9,13059,
2021-05-17,3017.6,3026.0,2988.7,3024.7,8818,
2021-05-18,2988.9,3030.3,2981.9,3020.4,11767,
